Type,Posting Date,Document Date,Reference,Expense G/L,Cost Center,Fund,Fund Area,Expense Amount,Expense Text,Employee No,Reimburse Amt,Reimburse Text,Assignment,Profit Center,Due Date,Business Area,Commitment Item,VAT G/L,TAX CODE,TAX RATE,TAX DATE,VAT BASE,VAT AMOUNT
2,18.04.2026,18.04.2026,69M0023,6010100110,10100,R1491,11001001,120000.00,ค่าเบี้ยประชุมคณะกรรมการ กยท.,1100002,120000.00,ใบสั่งจ่าย,69W0063,,,1491,6010100110,,,,,,
2,18.04.2026,18.04.2026,69M0021,5011400080,10500,R1491,11001001,498000.00,ค่าใช้จ่ายในการฝึกอบรม,10500U1,498000.00,ใบสั่งจ่าย,69W0044,,,1491,5011400080,,,,,,
2,18.04.2026,18.04.2026,69M0022,5011400260,19200,R1491,11001001,50000.00,ค่าเงินรางวัล,19200U1,50000.00,ใบสั่งจ่าย,69W0062,,,1491,5011400260,,,,,,
2,18.04.2026,18.04.2026,69M0024,5011400030,10100,R1491,11001001,12000.00,ค่ารับรอง,10100U1,12000.00,ใบสั่งจ่าย,69W0064,,,1491,5011400030,,,,,,
2,18.04.2026,18.04.2026,69M0025,6011000020,10100,R1491,11001001,230000.00,6011000020 - ค่าวัสดุสำนักงาน,10100U1,230000.00,ใบสั่งจ่าย,69W0065,,,1491,6011000020,,,,,,
2,19.04.2026,19.04.2026,69M0026,5011400060,10100,R1491,11001001,2970000.00,ค่าอาหารและเครื่องดื่ม,10100U1,8037000.00,ใบสั่งจ่าย,69W0067,,,1491,5011400060,,,,,,
2,19.04.2026,19.04.2026,69M0026,5011400030,10100,R1491,11001001,1215000.00,ค่ารับรอง,10100U1,,ใบสั่งจ่าย,69W0067,,,1491,5011400030,,,,,,
2,19.04.2026,19.04.2026,69M0026,5011400110,10100,R1491,11001001,3600000.00,ค่าเบี้ยประชุมคณะกรรมการตรวจสอบรัฐวิสาหกิจ,10100U1,,ใบสั่งจ่าย,69W0067,,,1491,5011400110,,,,,,
2,19.04.2026,19.04.2026,69M0026,6030800000,10100,R1491,11001001,252000.00,ค่าใช้จ่ายอื่นๆ,10100U1,,ใบสั่งจ่าย,69W0067,,,1491,6030800000,,,,,,
2,10.04.2026,17.04.2026,69T0059,5010400010,10100,R1491,11001001,35000.00,ค่าเบี้ยเลี้ยงในการเดินทางในประเทศ,10100U1,100000.00,ค่าใช้จ่ายในการเดินทางไปปฎิบัติงาน,69W0060,,,1491,5010400010,,,,,,
2,10.04.2026,17.04.2026,69T0059,5010400030,10100,R1491,11001001,30000.00,ค่าที่พักในการเดินทางในประเทศ,10100U1,,ค่าใช้จ่ายในการเดินทางไปปฎิบัติงาน,69W0060,,,1491,5010400030,,,,,,
2,10.04.2026,17.04.2026,69T0059,5010400020,10100,R1491,11001001,35000.00,ค่าพาหนะในการเดินทางในประเทศ,10100U1,,ค่าใช้จ่ายในการเดินทางไปปฎิบัติงาน,69W0060,,,1491,5010400020,,,,,,
2,19.04.2026,19.04.2026,69T0063,6010400010,10100,R1491,11001001,3600000.00,ค่าเบี้ยเลี้ยงในการเดินทางในประเทศ,10100U1,10080000.00,ค่าใช้จ่ายในการเดินทางไปปฎิบัติงาน,69W0067,,,1491,6010400010,,,,,,
2,19.04.2026,19.04.2026,69T0063,6010400030,10100,R1491,11001001,4050000.00,ค่าที่พักในการเดินทางในประเทศ,10100U1,,ค่าใช้จ่ายในการเดินทางไปปฎิบัติงาน,69W0067,,,1491,6010400030,,,,,,
2,19.04.2026,19.04.2026,69T0063,6010400020,10100,R1491,11001001,2430000.00,ค่าพาหนะในการเดินทางในประเทศ,10100U1,,ค่าใช้จ่ายในการเดินทางไปปฎิบัติงาน,69W0067,,,1491,6010400020,,,,,,
