TYPE,Posting Date,Document Date,Reference,Expense G/L,Cost Center,Fund,Fund Area,Expense Amount,Expense Text,Employee No,Reimburse Amt,Reimburse Text,Assignment,Profit Center,Due Date,Business Area,Commitment,VAT G/L,TAX CODE,TAX RATE,TAX DATE,VAT BASE,VAT AMOUNT
1,09.12.2025,06.12.2025,68W0002,,,,,,,EH10000U,100000.00,เบิกเงินยืมทดรอง,68W0002,10000,11.12.2025,1491,,,,,,,
1,04.12.2025,04.12.2025,68W0001,,,,,,,EH10000U,35000.00,เบิกเงินยืมทดรอง,68W0001,10000,04.12.2025,1491,,,,,,,
1,18.12.2025,18.12.2025,68W0007,,,,,,,EH10000U,205000.00,เบิกเงินยืมทดรอง,68W0007,10000,18.12.2025,1491,,,,,,,
1,18.12.2025,18.12.2025,68W0005,,,,,,,EH10000U,63260.00,เบิกเงินยืมทดรอง,68W0005,10000,18.12.2025,1491,,,,,,,
1,18.12.2025,18.12.2025,68W0006,,,,,,,EH10000U,111960.00,เบิกเงินยืมทดรอง,68W0006,10000,18.12.2025,1491,,,,,,,
1,09.12.2025,12.12.2025,68W0004,,,,,,,EH10000U,20000.00,เบิกเงินยืมทดรอง,68W0004,10000,09.12.2025,1494,,,,,,,
1,18.12.2025,18.12.2025,68W0010,,,,,,,EH10000U,230000.00,เบิกเงินยืมทดรอง,68W0010,10000,18.12.2025,1491,,,,,,,
1,18.12.2025,18.12.2025,68W0009,,,,,,,EH10000U,40000.00,เบิกเงินยืมทดรอง,68W0009,10000,18.12.2025,1491,,,,,,,
1,18.12.2025,18.12.2025,68W0008,,,,,,,EH10000U,2000.00,เบิกเงินยืมทดรอง,68W0008,10000,18.12.2025,1494,,,,,,,
1,18.12.2025,18.12.2025,68W0011,,,,,,,EH10000U,498000.00,เบิกเงินยืมทดรอง,68W0011,10000,18.12.2025,1494,,,,,,,
